order_id,order_date,month,day_of_week,category,product,franchise,sales_channel,region,unit_price,quantity,gross_revenue,discount_pct,discount_amt,net_revenue,customer_satisfaction,returned
10001,2024-01-01,1,Monday,Home,Blanket,Space Rangers,Online Store,West Coast,30.29,2,60.58,20,12.12,48.46,2,0
10002,2024-01-01,1,Monday,Toys,Building Set,Enchanted Forest,Online Store,West Coast,35.37,2,70.74,5,3.54,67.2,4,0
10003,2024-01-01,1,Monday,Apparel,Hoodie,Hero Squad,Online Store,West Coast,56.09,1,56.09,0,0.0,56.09,4,0
10004,2024-01-01,1,Monday,Home,Ornament,Ocean Tales,Retail Partner,Midwest,25.8,5,129.0,20,25.8,103.2,2,0
10005,2024-01-01,1,Monday,Collectibles,Figurine,Enchanted Forest,Online Store,West Coast,64.23,3,192.69,0,0.0,192.69,5,0
10006,2024-01-01,1,Monday,Accessories,Phone Case,Hero Squad,Theme Park Shop,East Coast,19.93,1,19.93,10,1.99,17.94,5,0
10007,2024-01-01,1,Monday,Apparel,Dress,Space Rangers,Theme Park Shop,West Coast,38.67,1,38.67,5,1.93,36.74,4,0
10008,2024-01-01,1,Monday,Apparel,Hoodie,Fantasy Kingdom,Retail Partner,East Coast,24.73,4,98.92,15,14.84,84.08,3,0
10009,2024-01-01,1,Monday,Accessories,Watch,Ocean Tales,Online Store,Midwest,23.27,2,46.54,20,9.31,37.23,5,0
10010,2024-01-01,1,Monday,Toys,Plush Toy,Enchanted Forest,Theme Park Shop,Southeast,41.18,1,41.18,0,0.0,41.18,5,0
10011,2024-01-01,1,Monday,Apparel,Jacket,Hero Squad,Theme Park Shop,East Coast,31.25,2,62.5,0,0.0,62.5,4,0
10012,2024-01-02,1,Tuesday,Collectibles,Figurine,Ocean Tales,Online Store,East Coast,53.96,4,215.84,10,21.58,194.26,5,0
10013,2024-01-02,1,Tuesday,Collectibles,Vinyl Figure,Ocean Tales,Retail Partner,East Coast,41.35,1,41.35,0,0.0,41.35,4,0
10014,2024-01-02,1,Tuesday,Collectibles,Vinyl Figure,Enchanted Forest,Online Store,West Coast,77.49,3,232.47,10,23.25,209.22,3,0
10015,2024-01-02,1,Tuesday,Collectibles,Vinyl Figure,Fantasy Kingdom,Retail Partner,Southeast,79.91,2,159.82,0,0.0,159.82,3,0
10016,2024-01-02,1,Tuesday,Collectibles,Limited Print,Ocean Tales,Theme Park Shop,Midwest,79.24,4,316.96,5,15.85,301.11,5,0
10017,2024-01-02,1,Tuesday,Home,Candle,Enchanted Forest,Theme Park Shop,West Coast,15.41,1,15.41,5,0.77,14.64,4,1
10018,2024-01-02,1,Tuesday,Apparel,Hoodie,Fantasy Kingdom,Pop-Up Event,Southeast,24.89,1,24.89,25,6.22,18.67,3,0
10019,2024-01-02,1,Tuesday,Collectibles,Art Book,Hero Squad,Online Store,East Coast,51.65,1,51.65,20,10.33,41.32,4,0
10020,2024-01-02,1,Tuesday,Apparel,T-Shirt,Fantasy Kingdom,Theme Park Shop,East Coast,52.73,1,52.73,5,2.64,50.09,4,0
10021,2024-01-02,1,Tuesday,Toys,Board Game,Hero Squad,Online Store,International,29.69,3,89.07,0,0.0,89.07,2,0
10022,2024-01-02,1,Tuesday,Apparel,T-Shirt,Space Rangers,Online Store,East Coast,29.92,1,29.92,0,0.0,29.92,3,1
10023,2024-01-03,1,Wednesday,Accessories,Phone Case,Hero Squad,Theme Park Shop,Midwest,28.11,2,56.22,25,14.05,42.17,3,0
10024,2024-01-03,1,Wednesday,Apparel,Dress,Enchanted Forest,Online Store,East Coast,24.17,2,48.34,0,0.0,48.34,2,0
10025,2024-01-03,1,Wednesday,Toys,Action Figure,Enchanted Forest,Online Store,Southeast,28.6,4,114.4,5,5.72,108.68,4,1
10026,2024-01-04,1,Thursday,Apparel,Jacket,Enchanted Forest,Theme Park Shop,East Coast,31.58,2,63.16,15,9.47,53.69,3,0
10027,2024-01-04,1,Thursday,Home,Candle,Ocean Tales,Pop-Up Event,International,14.2,2,28.4,0,0.0,28.4,2,0
10028,2024-01-04,1,Thursday,Home,Blanket,Ocean Tales,Retail Partner,Southeast,22.13,1,22.13,10,2.21,19.92,4,0
10029,2024-01-04,1,Thursday,Collectibles,Vinyl Figure,Enchanted Forest,Online Store,Midwest,77.98,1,77.98,0,0.0,77.98,5,0
10030,2024-01-04,1,Thursday,Toys,Board Game,Ocean Tales,Theme Park Shop,Midwest,23.1,2,46.2,10,4.62,41.58,4,0
10031,2024-01-04,1,Thursday,Apparel,T-Shirt,Hero Squad,Retail Partner,West Coast,34.14,1,34.14,10,3.41,30.73,3,0
10032,2024-01-04,1,Thursday,Accessories,Pin Set,Fantasy Kingdom,Online Store,International,26.28,1,26.28,0,0.0,26.28,5,0
10033,2024-01-04,1,Thursday,Toys,Puzzle,Space Rangers,Online Store,East Coast,43.16,5,215.8,0,0.0,215.8,5,0
10034,2024-01-04,1,Thursday,Toys,Action Figure,Ocean Tales,Retail Partner,Southeast,28.68,2,57.36,0,0.0,57.36,5,0
10035,2024-01-04,1,Thursday,Toys,Plush Toy,Hero Squad,Online Store,Midwest,26.64,4,106.56,5,5.33,101.23,3,0
10036,2024-01-04,1,Thursday,Apparel,Jacket,Fantasy Kingdom,Retail Partner,West Coast,51.14,2,102.28,10,10.23,92.05,5,0
10037,2024-01-04,1,Thursday,Toys,Action Figure,Space Rangers,Online Store,West Coast,19.41,3,58.23,15,8.73,49.5,4,0
10038,2024-01-04,1,Thursday,Collectibles,Figurine,Fantasy Kingdom,Online Store,International,40.34,4,161.36,10,16.14,145.22,2,0
10039,2024-01-04,1,Thursday,Home,Wall Art,Hero Squad,Theme Park Shop,East Coast,22.47,2,44.94,10,4.49,40.45,2,0
10040,2024-01-04,1,Thursday,Collectibles,Art Book,Space Rangers,Online Store,West Coast,64.38,1,64.38,15,9.66,54.72,4,0
